Question No,Question,Option A,Option B,Option C,Option D,Correct Answer
634,"Find the odd one out: Iron, Copper, Silver, Wood.",Iron,Copper,Silver,Wood,
635,"Which word is different: Table, Chair, Bench, Pencil?",Table,Chair,Bench,Pencil,
636,"If 12 × 12 = 144, then 21 × 21 = ?",420,421,441,451,
637,"Find the missing term: A, C, F, J, O, ?",P,Q,T,U,
638,"Which is odd: Rose, Jasmine, Lotus, Mango?",Rose,Jasmine,Lotus,Mango,
639,"If 'EARTH' = 'FSBSI', then 'MOON' = ?",NPPO,NPPM,NPOO,NPPN,
640,"Which number is missing: 7, 14, 28, ?, 112.",42,48,56,72,
641,"Find the odd one: Pen, Pencil, Eraser, Book.",Pen,Pencil,Eraser,Book,
642,"If Monday falls on 1st of a month, then which day will be on 8th?",Monday,Tuesday,Wednesday,Sunday,
643,"What is the missing number: 11, 22, 44, 88, ?",132,144,160,176,
644,"Which figure is different: Circle, Square, Rectangle, Sphere?",Circle,Square,Rectangle,Sphere,
645,"If 'SUN' is coded as 'TVM', then 'MOON' is coded as?",NPPO,NPPN,NQOO,NOOP,
646,"Find the odd number: 13, 17, 19, 21.",13,17,19,21,
647,"Complete the series: 2, 6, 12, 20, ?",28,30,32,34,
648,"If 'FLOWER' = 63, 'TREE' = 48, then 'LEAF' = ?",22,24,26,28,
649,"Choose the odd one: Doctor, Teacher, Engineer, Hospital.",Doctor,Teacher,Engineer,Hospital,
650,"Find the next number: 1, 1, 2, 3, 5, 8, ?",10,11,12,13,
651,"Which letter comes next: A, D, G, J, ?",K,L,M,N,
652,"Find the odd one: Gold, Silver, Diamond, Copper.",Gold,Silver,Diamond,Copper,
653,"If 15 × 2 = 30, then 15 ÷ 2 = ?",7.5,8,6.5,10,
654,Rearrange the letters 'ETALB' to form a word:,Table,Bleat,Ablet,Batel,
655,"Find the odd one out: Cow, Lion, Tiger, Wolf.",Cow,Lion,Tiger,Wolf,
656,"If 'BLACK' is coded as 'CNBDL', then 'WHITE' is coded as?",XIJUF,XJHVF,XJGUF,XIHVF,
657,"Find the missing number: 4, 9, 16, 25, ?",35,36,37,38,
658,"Which is odd: Cricket, Football, Hockey, Chess.",Cricket,Football,Hockey,Chess,
659,"If 8 men can do a job in 12 days, how many men are needed to do it in 6 days?",12,14,16,18,
660,"Find the odd one: Onion, Potato, Carrot, Mango.",Onion,Potato,Carrot,Mango,
661,"If 'SMILE' is coded as 'TNLMF', then 'HAPPY' is coded as?",IBQQZ,IBQQX,IBPRZ,IBQQY,
662,"Find the next number: 100, 90, 80, 70, ?",50,60,55,65,
663,"Odd one out: Paris, London, Delhi, Amazon.",Paris,London,Delhi,Amazon,
664,"Complete the series: 3, 6, 12, 24, 48, ?",72,96,84,100,
665,"If 'CUP' is coded as 'DVQ', then 'PEN' is coded as?",QFO,QFM,QFN,QFP,
666,"Find the missing number: 2, 5, 10, 17, 26, ?",35,36,37,38,
667,"Which is odd: Twitter, Facebook, Instagram, Google.",Twitter,Facebook,Instagram,Google,
668,"If 'EAST' is coded as 'FBTU', then 'WEST' is coded as?",XFUT,XFTU,XEST,XFTV,
669,"Find the odd number: 121, 144, 169, 180.",121,144,169,180,
670,"What comes next: 5, 10, 20, 40, ?",60,70,80,100,
671,Reading comprehension: The sun rises in the east and sets in the west. What is the main idea of this passage?,The sun always shines,The sun moves east to west,The sun is very hot,The sun never sets,
672,Reading comprehension: Water freezes at 0°C and boils at 100°C. What can be inferred?,Water is always solid,Water changes states with temperature,Water is never liquid,Water cannot boil,
673,Reading comprehension: The library will remain closed on Sunday. What does this mean?,The library is always closed,The library opens every day,The library is not open on Sunday,The library has no books,
674,Reading comprehension: The train will depart at 7:30 AM. Which of the following is correct?,The train leaves in the evening,The train leaves in the morning,The train is always late,The train departs daily,
675,Reading comprehension: The Amazon rainforest produces a large portion of the world’s oxygen. What is the main point?,The Amazon is dangerous,The Amazon is important for Earth’s oxygen,The Amazon is the largest forest,The Amazon has animals,
676,Reading comprehension: The Great Wall of China was built to protect against invasions. What does this tell us?,It was built for decoration,It was built for tourism,It was built for defense,It was built for farming,
677,Reading comprehension: Electricity is carried through wires made of copper. Why copper?,It is cheap,It is a good conductor,It is weak,It is heavy,
678,Reading comprehension: Earth takes 365 days to orbit the sun. What does this mean?,One year is 365 days,The Earth never moves,The Earth orbits in 30 days,The Earth is flat,
679,Reading comprehension: The internet connects people all over the world. What is the main idea?,The internet is only for games,The internet is global,The internet is dangerous,The internet is local,
680,"Reading comprehension: Bees help in pollination, which is important for growing crops. What can we conclude?",Bees are dangerous,Bees are important for farming,Bees make crops directly,Bees eat plants,
681,"Reading comprehension: The moon has no atmosphere, so there is no sound. What does this imply?",Sound travels everywhere,Sound needs air to travel,The moon is noisy,The moon has oxygen,
682,Reading comprehension: Plastic waste harms marine animals. What is the main point?,Plastic is safe,Plastic pollutes oceans,Plastic helps fish,Plastic dissolves in water,
683,Reading comprehension: The Taj Mahal was built by Shah Jahan in memory of his wife Mumtaz Mahal. What is it?,A fort,A palace,A tomb,A temple,
684,Reading comprehension: A leap year has 366 days. What is the additional day?,January 1,February 29,March 31,December 25,
685,Reading comprehension: The Pacific Ocean is the largest ocean in the world. What does this mean?,It is the smallest,It is larger than all others,It is near India,It has no water,
686,"Reading comprehension: A noun is the name of a person, place, or thing. Which of these is a noun?",Run,Happiness,Fast,Beautiful,
687,Reading comprehension: The first man to step on the moon was Neil Armstrong. When did it happen?,1969,1975,1985,1999,
688,Reading comprehension: Plants prepare food using sunlight in photosynthesis. What is required for it?,"Water, sunlight, carbon dioxide",Water only,Air only,Oxygen only,
689,Reading comprehension: The telephone was invented by Alexander Graham Bell. What is the telephone?,A device to cook food,A device to communicate,A device to travel,A device to store data,
690,Reading comprehension: The Ganga is considered a sacred river in India. What does this suggest?,It is holy,It is polluted,It is dry,It is short,
691,Reading comprehension: The Earth rotates on its axis once every 24 hours. What happens due to this?,Seasons change,Day and night occur,Year is completed,Moon shines,
692,Reading comprehension: Photosynthesis occurs in the leaves of plants. What does this mean?,Roots make food,Leaves make food,Stems make food,Flowers make food,
693,Reading comprehension: Shakespeare is known as the 'Bard of Avon'. What was he?,Scientist,Poet and playwright,Inventor,Painter,
694,Reading comprehension: The Indian Constitution came into effect on 26th January 1950. What is this day called?,Independence Day,Republic Day,Constitution Day,Law Day,
695,Reading comprehension: The Sahara Desert is the largest hot desert in the world. What does this tell us?,It is cold,It is vast and hot,It is in America,It has forests,
696,"Reading comprehension: The primary colors are red, blue, and yellow. What are they?",Colors that can’t be made by mixing,Colors made by mixing others,Colors of rainbow only,Colors of light,
697,Reading comprehension: The Earth is tilted at 23.5 degrees. What does this cause?,Day and night,Seasons,Earthquakes,Volcanoes,
698,Reading comprehension: The boiling point of water is 100°C at sea level. What happens above mountains?,It increases,It decreases,It remains same,It never boils,
699,Reading comprehension: Oxygen is essential for respiration. What does this mean?,We need oxygen to breathe,We do not need air,We live without oxygen,We breathe only nitrogen,
700,Reading comprehension: The Himalayas are the highest mountains in the world. What is Mount Everest?,Lowest peak,Highest peak,River,Valley,
701,Reading comprehension: The national animal of India is the Bengal tiger. What does this symbolize?,Strength and power,Weakness,Peace,Speed,
702,Reading comprehension: The currency of Japan is Yen. Which country uses it?,China,Japan,Korea,Thailand,
703,Reading comprehension: Mahatma Gandhi led the Dandi March in 1930. What was it against?,Salt tax,Railway tax,Water tax,Income tax,
704,Reading comprehension: The Red Cross helps during disasters. What is its purpose?,Provide entertainment,Provide medical aid,Provide money,Provide jobs,
705,Reading comprehension: The speed of light is faster than sound. Which comes first in a thunderstorm?,Sound,Light,Both together,None,
706,Reading comprehension: The brain controls the body’s functions. What is it called?,Control center,Heart,Lungs,Stomach,
707,Reading comprehension: The Statue of Liberty is located in New York. Who gifted it to the USA?,Germany,France,England,Spain,
708,Reading comprehension: The Earth’s surface is covered by 71% water. What is the remaining?,Ice,Land,Air,Rocks,
709,Reading comprehension: The Indian national song is 'Vande Mataram'. Who wrote it?,Rabindranath Tagore,Bankim Chandra Chatterjee,Mahatma Gandhi,Jawaharlal Nehru,
710,Reading comprehension: The Eiffel Tower is a famous monument. Where is it located?,Rome,Paris,London,Berlin,
711,Reading comprehension: The human heart has four chambers. What is its function?,Pump blood,Store food,Control brain,Make bones,
712,Reading comprehension: The Indian Ocean is named after which country?,Indonesia,India,Iran,Italy,
713,Reading comprehension: The ozone layer protects Earth from harmful rays. Which rays?,Infrared,Ultraviolet,Radio,Microwave,
714,Reading comprehension: The speed of sound is about 343 m/s in air. What does it mean?,Sound travels instantly,Sound takes time to travel,Sound is faster than light,Sound never travels,
715,Reading comprehension: The national emblem of India has four lions. What does it represent?,Unity and power,Weakness,Peace only,Animals,
716,Reading comprehension: The pen is mightier than the sword. What does this proverb mean?,Writing is more powerful than violence,Weapons are useless,Pens are sharp,War is good,
717,Reading comprehension: The largest planet in our solar system is Jupiter. What is the smallest?,Mars,Mercury,Venus,Neptune,
718,Reading comprehension: Mount Everest is in which mountain range?,Andes,Alps,Himalayas,Rockies,
719,Reading comprehension: The Indian national flower is the lotus. What does it symbolize?,Purity and beauty,Strength,Speed,Power,
720,Reading comprehension: The United Nations was formed in 1945. Why?,To play sports,To maintain peace,To invent weapons,To rule countries,
721,A is the father of B. B is the father of C. How is A related to C?,Father,Grandfather,Uncle,Brother,
722,P is the brother of Q. Q is the mother of R. How is P related to R?,Father,Brother,Uncle,Grandfather,
723,M is the son of N. O is the daughter of M. How is N related to O?,Father,Mother,Grandparent,Uncle,
724,X is the husband of Y. Y is the sister of Z. How is Z related to X?,Brother-in-law,Father-in-law,Cousin,Uncle,
725,C is the mother of D. D is the sister of E. How is C related to E?,Father,Mother,Sister,Grandmother,
726,A is the brother of B. B is the sister of C. How is A related to C?,Brother,Uncle,Father,Cousin,
727,P is the son of Q. R is the mother of Q. How is R related to P?,Grandmother,Mother,Sister,Aunt,
728,T is the father of U. V is the son of U. How is T related to V?,Father,Uncle,Grandfather,Brother,
729,H is the daughter of J. J is the sister of K. How is K related to H?,Father,Uncle,Brother,Grandfather,
730,S is the mother of T. T is the father of U. How is S related to U?,Mother,Sister,Grandmother,Aunt,
731,A is the son of B. B is the daughter of C. How is A related to C?,Son,Father,Grandson,Brother,
732,P is the sister of Q. Q is the father of R. How is P related to R?,Aunt,Sister,Mother,Grandmother,
733,L is the son of M. N is the sister of L. How is N related to M?,Mother,Sister,Daughter,Aunt,
734,X is the father of Y. Y is the father of Z. How is Z related to X?,Son,Daughter,Grandchild,Brother,
735,F is the wife of G. G is the father of H. How is F related to H?,Mother,Aunt,Sister,Grandmother,
736,A is the mother of B. C is the father of A. How is C related to B?,Father,Uncle,Grandfather,Brother,
737,M is the brother of N. N is the father of O. How is M related to O?,Brother,Uncle,Grandfather,Cousin,
738,D is the son of E. F is the daughter of D. How is E related to F?,Father,Grandparent,Uncle,Brother,
739,P is the wife of Q. Q is the brother of R. How is R related to P?,Brother-in-law,Sister-in-law,Father-in-law,Uncle,
740,S is the son of T. U is the daughter of S. How is T related to U?,Father,Grandparent,Uncle,Brother,
721,Ravi is the father of Suresh. Suresh is the father of Neha. What is Ravi to Neha?,Brother,Grandfather,Uncle,Father,
722,Anita is the mother of Priya. Priya is the sister of Karan. What is Anita to Karan?,Aunt,Grandmother,Mother,Sister,
723,Vikas is the brother of Rahul. Rahul is the son of Meena. What is Vikas to Meena?,Brother,Son,Father,Nephew,
724,Arjun is the father of Mohan. Mohan is married to Pooja. What is Pooja to Arjun?,Daughter,Daughter-in-law,Sister,Mother,
725,Seema is the wife of Raj. Raj is the brother of Rohit. What is Seema to Rohit?,Sister,Sister-in-law,Cousin,Mother,
726,Aman is the father of Deepak. Deepak is the father of Kavita. What is Aman to Kavita?,Uncle,Grandfather,Father,Brother,
727,Sneha is the daughter of Gopal. Gopal is the brother of Shalini. What is Shalini to Sneha?,Mother,Sister,Aunt,Grandmother,
728,Vivek is the son of Nisha. Nisha is the wife of Sanjay. What is Sanjay to Vivek?,Brother,Father,Uncle,Grandfather,
729,Rohit is the brother of Ramesh. Ramesh is the father of Riya. What is Rohit to Riya?,Father,Uncle,Brother,Grandfather,
730,Kiran is the mother of Pankaj. Pankaj is the husband of Meera. What is Kiran to Meera?,Mother,Sister,Mother-in-law,Aunt,
731,Alok is the father of Sameer. Sameer is the brother of Radha. What is Radha to Alok?,Daughter,Sister,Mother,Aunt,
732,Sunita is the mother of Anjali. Anjali is married to Saurabh. What is Sunita to Saurabh?,Mother,Mother-in-law,Sister,Aunt,
733,Manoj is the son of Prakash. Prakash is the son of Dev. What is Dev to Manoj?,Father,Grandfather,Uncle,Brother,
734,Suresh is the father of Ankit. Ankit is the brother of Shreya. What is Shreya to Suresh?,Sister,Daughter,Wife,Mother,
735,Anil is the brother of Reena. Reena is the mother of Sonia. What is Anil to Sonia?,Uncle,Father,Brother,Grandfather,
736,Rajesh is the father of Pooja. Pooja is the wife of Anurag. What is Rajesh to Anurag?,Father,Brother,Father-in-law,Uncle,
737,Vikram is the husband of Shalini. Shalini is the mother of Aarav. What is Vikram to Aarav?,Uncle,Father,Brother,Grandfather,
738,Deepa is the daughter of Karan. Karan is the brother of Ajay. What is Ajay to Deepa?,Father,Uncle,Brother,Grandfather,
739,Aarti is the sister of Sanjay. Sanjay is the father of Rohan. What is Aarti to Rohan?,Mother,Aunt,Sister,Grandmother,
740,Kavita is the wife of Ramesh. Ramesh is the son of Shobha. What is Shobha to Kavita?,Mother-in-law,Sister,Aunt,Grandmother,
741,Pranav is the son of Ritu. Ritu is the wife of Raghav. What is Raghav to Pranav?,Uncle,Brother,Father,Grandfather,
742,Neha is the daughter of Anjali. Anjali is the sister of Rakesh. What is Rakesh to Neha?,Uncle,Father,Brother,Grandfather,
743,Pooja is the mother of Aditya. Aditya is the husband of Nisha. What is Pooja to Nisha?,Sister,Mother-in-law,Grandmother,Aunt,
744,Ravi is the father of Karan. Karan is the husband of Meena. What is Meena to Ravi?,Daughter,Daughter-in-law,Sister,Mother,
745,Shobha is the mother of Nidhi. Nidhi is the sister of Ankur. What is Shobha to Ankur?,Mother,Grandmother,Aunt,Sister,
746,Raj is the brother of Sita. Sita is the mother of Neeraj. What is Raj to Neeraj?,Uncle,Father,Brother,Grandfather,
747,Divya is the wife of Mohit. Mohit is the son of Kamal. What is Kamal to Divya?,Father,Uncle,Father-in-law,Grandfather,
748,Alka is the daughter of Sameer. Sameer is the father of Sunil. What is Sunil to Alka?,Brother,Father,Uncle,Son,
749,Monica is the sister of Rajesh. Rajesh is the father of Tanya. What is Monica to Tanya?,Sister,Mother,Aunt,Grandmother,
750,Sanjay is the father of Ajay. Ajay is the father of Neeraj. What is Sanjay to Neeraj?,Father,Grandfather,Uncle,Brother,
751,Preeti is the daughter of Mahesh. Mahesh is the brother of Ramesh. What is Ramesh to Preeti?,Father,Uncle,Brother,Grandfather,
752,Sunil is the brother of Meena. Meena is the mother of Anil. What is Sunil to Anil?,Uncle,Brother,Father,Grandfather,
753,Vishal is the son of Rekha. Rekha is the wife of Anup. What is Anup to Vishal?,Uncle,Father,Brother,Grandfather,
754,Aditi is the daughter of Suraj. Suraj is the father of Kunal. What is Kunal to Aditi?,Brother,Father,Uncle,Son,
755,Shyam is the father of Geeta. Geeta is married to Arvind. What is Shyam to Arvind?,Uncle,Father,Father-in-law,Brother,
756,Kiran is the sister of Aman. Aman is the father of Sanya. What is Kiran to Sanya?,Mother,Aunt,Sister,Grandmother,
757,Mohan is the father of Anil. Anil is the brother of Pooja. What is Mohan to Pooja?,Father,Uncle,Brother,Grandfather,
758,Sneha is the wife of Rahul. Rahul is the brother of Varun. What is Sneha to Varun?,Sister,Sister-in-law,Mother,Aunt,
759,Raj is the son of Sunita. Sunita is the wife of Ramesh. What is Ramesh to Raj?,Father,Uncle,Brother,Grandfather,
760,Neeraj is the son of Anil. Anil is the son of Rajesh. What is Rajesh to Neeraj?,Brother,Grandfather,Father,Uncle,
761,Megha is the daughter of Ritu. Ritu is the sister of Ankur. What is Ankur to Megha?,Father,Uncle,Brother,Grandfather,
762,Suman is the wife of Rajeev. Rajeev is the father of Shalini. What is Suman to Shalini?,Mother,Sister,Grandmother,Aunt,
763,Deepak is the father of Rohit. Rohit is the husband of Priya. What is Deepak to Priya?,Brother,Father,Father-in-law,Uncle,
764,Ajay is the son of Suresh. Suresh is the son of Mohan. What is Mohan to Ajay?,Father,Brother,Grandfather,Uncle,
765,Rohini is the wife of Manish. Manish is the brother of Raghav. What is Rohini to Raghav?,Sister,Sister-in-law,Aunt,Mother,
766,Aakash is the father of Nidhi. Nidhi is the wife of Karan. What is Aakash to Karan?,Brother,Father,Father-in-law,Grandfather,
767,Varun is the brother of Neha. Neha is the daughter of Pankaj. What is Varun to Pankaj?,Son,Brother,Father,Uncle,
768,Priya is the mother of Anuj. Anuj is the brother of Sanya. What is Priya to Sanya?,Mother,Grandmother,Sister,Aunt,
769,Raghav is the son of Seema. Seema is the wife of Anil. What is Anil to Raghav?,Brother,Father,Uncle,Grandfather,
770,Sonia is the sister of Amit. Amit is the father of Rahul. What is Sonia to Rahul?,Mother,Aunt,Sister,Grandmother,
771,Suresh is the father of Anil. Anil is married to Kavita. Kavita is the sister of Ramesh. What is Ramesh to Suresh?,Son,Son-in-law,Brother,Brother-in-law,
772,Rekha is the wife of Mohan. Mohan is the father of Anjali. Anjali is married to Rajesh. What is Rekha to Rajesh?,Mother,Mother-in-law,Aunt,Grandmother,
773,Neha is the sister of Aman. Aman is married to Ritu. Ritu is the daughter of Vijay. What is Neha to Vijay?,Daughter,Daughter-in-law,Sister-in-law,Niece,
774,Rohit is the brother of Sameer. Sameer is the husband of Pooja. Pooja is the mother of Neeraj. What is Rohit to Neeraj?,Uncle,Father,Brother,Grandfather,
775,Shalini is the mother of Priya. Priya is married to Ankur. Ankur is the son of Suresh. What is Shalini to Suresh?,Sister,Mother-in-law,Sister-in-law,Wife,
776,Amit is the father of Rakesh. Rakesh is married to Sneha. Sneha is the sister of Kiran. What is Amit to Kiran?,Brother,Uncle,Father,Father-in-law,
777,Deepa is the daughter of Shobha. Shobha is the sister of Raj. Raj is the father of Kunal. What is Deepa to Kunal?,Sister,Cousin,Aunt,Niece,
778,Alok is the son of Ravi. Ravi is the brother of Rekha. Rekha is the mother of Neha. What is Alok to Neha?,Brother,Uncle,Cousin,Nephew,
779,Manoj is the husband of Suman. Suman is the sister of Ankit. Ankit is the father of Rahul. What is Manoj to Rahul?,Uncle,Father,Brother-in-law,Grandfather,
780,Kavita is the wife of Arjun. Arjun is the son of Ramesh. Ramesh is the husband of Sunita. What is Sunita to Kavita?,Mother,Mother-in-law,Sister,Aunt,
781,Nikhil is the brother of Anuj. Anuj is married to Pooja. Pooja is the sister of Rekha. What is Rekha to Nikhil?,Sister,Sister-in-law,Cousin,Mother,
782,Suresh is the father of Rajesh. Rajesh is married to Anita. Anita is the sister of Mohan. What is Mohan to Suresh?,Brother,Brother-in-law,Son-in-law,Uncle,
783,Anil is the father of Ramesh. Ramesh is the father of Alok. Alok is married to Meera. What is Meera to Anil?,Daughter,Daughter-in-law,Sister,Niece,
784,Geeta is the daughter of Shyam. Shyam is the brother of Manoj. Manoj is the father of Neeraj. What is Geeta to Neeraj?,Sister,Cousin,Aunt,Mother,
785,Pooja is the mother of Anjali. Anjali is married to Karan. Karan is the brother of Mohit. What is Pooja to Mohit?,Mother,Sister,Mother-in-law,Aunt,
786,Rohit is the son of Nirmal. Nirmal is the husband of Rekha. Rekha is the mother of Priya. What is Priya to Rohit?,Sister,Cousin,Aunt,Mother,
787,Aarav is the son of Sunil. Sunil is the brother of Anil. Anil is the father of Kiran. What is Aarav to Kiran?,Brother,Cousin,Uncle,Nephew,
788,Raj is married to Meena. Meena is the sister of Suman. Suman is the mother of Anjali. What is Raj to Anjali?,Uncle,Brother,Brother-in-law,Father,
789,Kunal is the father of Nidhi. Nidhi is married to Alok. Alok is the brother of Deepa. What is Kunal to Deepa?,Father,Uncle,Father-in-law,Brother,
790,Ravi is the brother of Sunita. Sunita is the mother of Rohan. Rohan is married to Priya. What is Ravi to Priya?,Uncle,Father,Brother-in-law,Father-in-law,
791,Kiran is the daughter of Meera. Meera is the wife of Rajesh. Rajesh is the father of Anil. What is Anil to Kiran?,Brother,Uncle,Father,Cousin,
792,Arjun is the husband of Pooja. Pooja is the daughter of Rekha. Rekha is married to Mohan. What is Mohan to Arjun?,Father,Father-in-law,Brother,Uncle,
793,Nisha is the wife of Rohit. Rohit is the son of Ajay. Ajay is the brother of Anil. What is Nisha to Anil?,Daughter,Sister,Sister-in-law,Niece,
794,Raj is the son of Shobha. Shobha is the sister of Nirmala. Nirmala is the mother of Anjali. What is Raj to Anjali?,Brother,Uncle,Cousin,Nephew,
795,Vikas is the father of Kunal. Kunal is the husband of Riya. Riya is the daughter of Suresh. What is Vikas to Suresh?,Brother,Father,Father-in-law,Brother-in-law,
796,Anjali is the mother of Neha. Neha is married to Rohan. Rohan is the son of Mahesh. What is Anjali to Mahesh?,Sister,Mother-in-law,Sister-in-law,Aunt,
797,Meera is the wife of Arjun. Arjun is the brother of Rahul. Rahul is the father of Nidhi. What is Meera to Nidhi?,Mother,Aunt,Sister,Grandmother,
798,Aman is the father of Sneha. Sneha is the wife of Raj. Raj is the son of Ramesh. What is Aman to Ramesh?,Brother,Father,Father-in-law,Brother-in-law,
799,Karan is the son of Vijay. Vijay is the husband of Anjali. Anjali is the mother of Neha. What is Karan to Neha?,Brother,Uncle,Cousin,Father,
800,Rahul is the husband of Aditi. Aditi is the daughter of Suman. Suman is married to Rajesh. What is Rajesh to Rahul?,Brother,Father-in-law,Uncle,Cousin,
700,A can complete a work in 10 days and B in 15 days. In how many days will they complete the work together?,6 days,7 days,8 days,9 days,
701,"A can do a piece of work in 20 days, B in 30 days. They start together but A leaves after 5 days. How long will B take to finish the remaining work?",15 days,16 days,18 days,20 days,
702,"If a train 180 m long passes a pole in 18 seconds, what is the speed of the train?",10 m/s,12 m/s,14 m/s,15 m/s,
703,"If a train 120 m long crosses a platform 180 m long in 30 seconds, what is its speed?",10 m/s,12 m/s,15 m/s,18 m/s,
704,"A man spends 80% of his income. If his income is ₹25,000, how much does he save?",₹4000,₹4500,₹5000,₹6000,
705,"The population of a town increases by 10% annually. If the current population is 10,000, what will it be after 2 years?","11,000","12,100","12,210","13,000",
706,"The ratio of ages of A and B is 3:5. If the sum of their ages is 64, what is A’s age?",20 years,24 years,26 years,28 years,
707,"The cost price of an article is ₹500. If it is sold at a profit of 20%, what is the selling price?",₹580,₹600,₹620,₹650,
708,"A sells an article at 10% loss. If he had sold it for ₹40 more, he would have gained 10%. Find the cost price.",₹150,₹160,₹180,₹200,
709,The average of five consecutive odd numbers is 27. What is the largest number?,29,31,33,35,
710,Two pipes can fill a tank in 20 and 30 minutes respectively. How long will it take to fill the tank if both are opened together?,10 min,12 min,15 min,18 min,
711,A man travels 60 km at 30 km/h and returns at 20 km/h. Find his average speed.,22 km/h,24 km/h,25 km/h,26 km/h,
712,A sum of money becomes ₹720 in 2 years at 10% simple interest. Find the principal.,₹600,₹620,₹650,₹660,
713,The sum of three consecutive even numbers is 72. Find the largest number.,22,24,26,28,
714,A man covers a distance in 4 hours at 30 km/h. How much time will he take at 40 km/h?,2 hours,2.5 hours,3 hours,3.5 hours,
715,The marked price of an article is ₹500. A shopkeeper gives a discount of 10%. Find the selling price.,₹400,₹450,₹460,₹480,
716,"The average marks of 40 students are 50. If the marks of one student are misread as 84 instead of 48, what is the correct average?",49,49.5,50,50.9,
717,A and B together can do a work in 12 days. A alone can do it in 20 days. How long will B alone take?,25 days,30 days,35 days,40 days,
718,A shopkeeper bought an article for ₹400 and sold it for ₹480. Find the profit percentage.,15%,18%,20%,25%,
719,"If the cost price is ₹500 and selling price is ₹450, find the loss percentage.",8%,9%,10%,12%,
720,"The average of 7 numbers is 20. If one number is removed, the average becomes 19. Find the removed number.",26,27,28,29,
721,A man borrows ₹5000 at 12% simple interest. How much will he pay after 2 years?,₹6000,₹6200,₹6200,₹6300,
722,"A man spends 1/3 of his income on rent, 1/4 on food, and saves the rest. If he saves ₹6000, find his income.","₹12,000","₹18,000","₹24,000","₹30,000",
723,A train 300 m long passes a man standing on a platform in 15 seconds. What is the speed of the train?,60 km/h,72 km/h,80 km/h,90 km/h,
724,"The LCM of two numbers is 180 and their HCF is 15. If one number is 45, find the other.",60,70,75,80,
725,"The ratio of milk to water in a mixture is 3:2. If 20 liters of water is added, the ratio becomes 3:4. Find the quantity of milk.",30 liters,40 liters,50 liters,60 liters,
726,"A man can row 6 km/h in still water. If the river flows at 2 km/h, how long will it take to row 16 km downstream?",2 hours,2.5 hours,3 hours,4 hours,
727,"If 15 men can complete a work in 12 days, how many men are required to complete it in 9 days?",18,20,22,25,
728,The cost of 12 pens is ₹180. What will be the cost of 20 pens?,₹280,₹290,₹300,₹310,
729,"If 15% of x is 90, then x = ?",500,600,700,800,
730,The average of first 10 natural numbers is:,5,5.5,6,6.5,
731,A train leaves station A at 7 a.m. and reaches station B at 11 a.m. at 60 km/h. Find the distance.,200 km,220 km,230 km,240 km,
732,The difference between simple interest and compound interest on ₹5000 at 10% for 2 years is:,₹40,₹45,₹50,₹55,
733,The sum of two numbers is 80 and their difference is 20. Find the numbers.,40 and 60,30 and 50,50 and 30,60 and 20,
734,"The average of 10 numbers is 25. If each number is increased by 4, the new average is:",28,29,30,31,
735,"The ratio of income to expenditure of a person is 3:2. If his income is ₹24,000, find his savings.",₹6000,₹8000,"₹10,000","₹12,000",
736,"If 25% of a number is 60, what is the number?",200,220,230,240,
737,"The cost of 15 oranges is equal to the cost of 25 apples. If the cost of an orange is ₹20, find the cost of an apple.",₹10,₹12,₹15,₹18,
738,A man can finish a work in 15 days. He worked for 10 days and left. The remaining work was finished by B in 5 days. How many days can B alone finish the work?,15,20,25,30,
739,A box contains 5 red balls and 7 green balls. One ball is drawn at random. Find the probability of drawing a green ball.,5/12,6/12,7/12,8/12,
740,A man buys a watch for ₹400 and sells it at a loss of 15%. Find the selling price.,₹320,₹330,₹340,₹350,
741,"If 3 men can do a piece of work in 24 days, how many men are required to complete it in 6 days?",10,11,12,13,
742,A car covers a distance of 300 km at 60 km/h. How much time will it take?,4 h,4.5 h,5 h,5.5 h,
743,A shopkeeper marks his goods 20% above cost price and allows a discount of 10%. Find the profit percent.,8%,9%,10%,12%,
744,"If 6 pencils cost ₹24, find the cost of 10 pencils.",₹35,₹36,₹38,₹40,
745,"The average of 8 numbers is 25. If one number is added, the average becomes 26. Find the added number.",30,32,34,36,
746,The perimeter of a square is 48 cm. Find its area.,120 cm²,144 cm²,160 cm²,180 cm²,
747,"The sum of digits of a two-digit number is 11. If the number is 4 times the sum of its digits, find the number.",44,52,65,74,
748,A man travels 150 km in 3 hours by car and 50 km in 1 hour by bike. Find his average speed.,48 km/h,49 km/h,50 km/h,52 km/h,
749,A and B together can complete a work in 10 days. B alone can do it in 15 days. How long will A alone take?,20 days,25 days,30 days,35 days,
750,A and B can finish a piece of work in 12 days and 18 days respectively. In how many days will they finish it together?,6 days,7.2 days,8 days,9 days,
751,"If the selling price of 12 pens is equal to the cost price of 15 pens, the loss percentage is?",15%,20%,25%,30%,
752,A train running at 54 km/h passes a man in 20 seconds. Find the length of the train.,280 m,300 m,320 m,330 m,
753,A and B can finish a piece of work in 30 days and 40 days respectively. They work together for 10 days. Remaining work will be done by?,10 days,15 days,18 days,20 days,
754,The difference between compound interest and simple interest on ₹2500 for 2 years at 5% is?,₹2.50,₹3.00,₹3.25,₹3.75,
755,The sum of two numbers is 45 and their product is 324. Find the numbers.,9 and 36,12 and 33,18 and 27,21 and 24,
756,"If 12 men can complete a work in 18 days, how many days will 9 men take?",20,22,24,26,
